Country,Iso3,Population,Density,MedianAge
Afghanistan,AFG,37856121,58.30333314851778,16.2342598253649
Albania,ALB,2885009.5,105.30000364990146,34.7080287384976
Algeria,DZA,43294546,18.17769613811751,27.4311513055076
American Samoa,ASM,50209,251.045,26.25126853916
Andorra,AND,76473.5,162.7095744680851,41.7308972345425
Angola,AGO,32375632.5,25.96906432983075,16.3024183058205
Antigua and Barbuda,ATG,91363.5,207.6443181818182,33.8295615856804
Azerbaijan,AZE,10110475,122.31695661641946,30.6988359262162
Argentina,ARG,44973465.5,16.109070996951797,30.7625167966656
Australia,AUS,25482714,3.3170683258919853,36.5427894519395
Austria,AUT,8880876,107.62219610029206,42.4327450486761
Bahamas,BHS,394674.5,73.66078760731617,33.2472130481765
Bahrain,BHR,1485670.5,1897.4080459770112,31.2099122747852
Bangladesh,BGD,164913055,1266.9052393024506,24.3799699433534
Armenia,ARM,2903971.5,102.02260750421586,34.5248115724556
Barbados,BRB,281207.5,653.9709302325581,37.9211322538314
Belgium,BEL,11490618,379.50386419182246,40.7351331470827
Bermuda,BMU,64107,1187.1666666666667,43.743794476991
Bhutan,BTN,764824,19.92040422982758,27.055254204606
Bolivia (Plurinational State of),BOL,11671385.5,10.77394795702379,23.7999764302735
Bosnia and Herzegovina,BIH,3345533,65.34627028927476,43.2918482668368
Botswana,BWA,2332083,4.114980678630036,22.1052063071653
Brazil,BRA,207455459.5,24.820768675805866,32.2561694650033
Belize,BLZ,385828.5,16.9148838228847,24.2731243534341
Solomon Islands,SLB,728147,25.28639394360328,19.4823131056139
British Virgin Islands,VGB,36394.5,236.32792207792207,35.8561358860625
Brunei Darussalam,BRN,442680,76.7875108412836,29.9598690558396
Bulgaria,BGR,6975469,64.35171962065021,43.6277572414755
Myanmar,MMR,52640713,80.57786434814554,28.4447781028108
Burundi,BDI,12255336.5,472.26730250481694,15.1943066930544
Belarus,BLR,9435419.5,46.500515006653195,39.2884190638022
Cambodia,KHM,16481304,91.03932388764603,24.8420141016025
Cameroon,CMR,25506095,54.72823731359296,17.37390701887
Canada,CAN,37782934.5,4.154935439099568,39.7878258818112
Cabo Verde,CPV,514104.00000000006,127.56923076923078,26.0181336466155
Cayman Islands,CYM,67327,279.3651452282158,36.4104289741986
Central African Republic,CAF,4944703.5,7.937178561109506,14.3677376640978
Sri Lanka,LKA,22410551.5,357.3965632724663,31.816394009346
Chad,TCD,16685223.000000002,13.250653589580688,14.8132191464451
Chile,CHL,19197744,25.496569511550508,34.3283984938574
China,CHN,1423520357.5,148.28337057291665,37.0262100856568
"China, Taiwan Province of China",TWN,23674137.5,668.5720841570178,41.1460802056316
Colombia,COL,49907985,44.414489978081086,30.0840475542351
Comoros,COM,786578,422.6641590542719,19.4568524927711
Mayotte,MYT,274910.5,733.0946666666666,16.7041976510961
Congo,COG,5616661,16.44703074670571,18.0505034045701
Democratic Republic of the Congo,COD,92947442,40.99929070818906,15.8444621343494
Cook Islands,COK,16129.000000000002,67.20416666666668,32.4506097628631
Costa Rica,CRI,4999553.5,97.91526635330985,32.013822069169
Croatia,HRV,3986334.5,71.31699048232431,43.9516903767248
Cuba,CUB,11202846.5,104.93683377358136,41.0964107479494
Cyprus,CYP,1286671.5,139.25016233766237,36.1201318937624
Czechia,CZE,10554875,136.7158659637579,41.9627395988349
Benin,BEN,12726755,112.8658655551614,17.3310800693897
Denmark,DNK,5814618.5,137.1566377317545,40.9929801104254
Dominica,DMA,67880.5,90.50733333333334,33.9690198071399
Dominican Republic,DOM,10894043.5,225.49819916789136,26.3878786529832
Ecuador,ECU,17340021.5,69.8180926880335,26.8555537886132
El Salvador,SLV,6222317.5,300.30489864864865,25.2928750457677
Equatorial Guinea,GNQ,1670177,59.54285204991087,21.1604294836874
Ethiopia,ETH,115737382.5,115.7373825,17.9257977673632
Eritrea,ERI,3240194,26.74663210724427,17.7802792403825
Estonia,EST,1326821.5,30.525502691759076,41.2129810555045
Faroe Islands,FRO,51841.5,37.430685920577616,37.8607598661904
Falkland Islands (Malvinas),FLK,3516.5,0.2889482333607231,39.457711999971004
Fiji,FJI,914899.5,50.076600985221674,26.7759983842564
Finland,FIN,5521759,18.26105318160322,41.9740309521083
France,FRA,65729459,119.20900105190611,41.0796511977195
French Guiana,GUF,285568,3.4740632603406327,24.9628353285774
French Polynesia,PYF,279033.5,75.74199239956569,32.4281600966063
Djibouti,DJI,1088709,46.96760138050043,23.2130881512866
Gabon,GAB,2267705.5,8.800813055458532,21.4590440184371
Georgia,GEO,3796722.5,54.63696215282774,36.3291433340533
Gambia,GMB,2456844,242.7711462450593,17.4675337976474
State of Palestine,PSE,4957768,823.5495016611295,19.1521764984733
Germany,DEU,83559186.5,239.72683756024787,44.903599356348
Ghana,GHA,31258945,137.37780170519468,20.2504784768342
Gibraltar,GIB,35494,3549.4,39.1534672565923
Kiribati,KIR,123920.5,170.68939393939394,21.9926014509528
Greece,GRC,10718575.5,81.93376777251184,44.004583429734
Greenland,GRL,56084,0.1366406057756262,33.4747381310867
Grenada,GRD,115981.5,341.1220588235294,31.4421395032242
Guadeloupe,GLP,410256.5,252.00030712530713,43.8463515393431
Guam,GUM,161808,299.090573012939,30.7061793126756
